File name	Efficiency (661 keV)	
../../../macros/137-Cs/SimLuna.2.histos.root	0.0877242+/-0.000296287
../../../macros/137-Cs/SimLuna.2.histos.root	0.0876411+/-0.000296897
../../../macros/137-Cs/SimLuna.2.histos.root	0.0885045+/-0.000298794
../../../macros/137-Cs/SimLuna.2.histos.root	0.0880358+/-0.000297613
../../../macros/137-Cs/SimLuna.2.histos.root	0.0882645+/-0.000297539
../../../macros/137-Cs/SimLuna.2.histos.root	0.088486+/-0.000295879
../../../macros/137-Cs/SimLuna.3.histos.root	0.0879244+/-0.000297919
../../../macros/137-Cs/SimLuna.3.histos.root	0.0885372+/-0.000294567
../../../macros/137-Cs/SimLuna.3.histos.root	0.0881225+/-0.000298671
../../../macros/137-Cs/SimLuna.3.histos.root	0.0884639+/-0.000299946
../../../macros/137-Cs/SimLuna.3.histos.root	0.0881567+/-0.00029791
../../../macros/137-Cs/SimLuna.3.histos.root	0.0885017+/-0.000294689
../../../macros/137-Cs/SimLuna.4.histos.root	0.0878661+/-0.000296519
../../../macros/137-Cs/SimLuna.4.histos.root	0.0879692+/-0.000298595
../../../macros/137-Cs/SimLuna.4.histos.root	0.0885944+/-0.000298125
../../../macros/137-Cs/SimLuna.4.histos.root	0.0879066+/-0.00029633
../../../macros/137-Cs/SimLuna.4.histos.root	0.0876587+/-0.000297451
../../../macros/137-Cs/SimLuna.4.histos.root	0.0887435+/-0.000291606
../../../macros/137-Cs/SimLuna.5.histos.root	0.0879691+/-0.000296114
../../../macros/137-Cs/SimLuna.5.histos.root	0.0876335+/-0.000288231
../../../macros/137-Cs/SimLuna.5.histos.root	0.0880371+/-0.000297026
../../../macros/137-Cs/SimLuna.5.histos.root	0.0878431+/-0.000300572
../../../macros/137-Cs/SimLuna.5.histos.root	0.0883197+/-0.000298824
../../../macros/137-Cs/SimLuna.5.histos.root	0.0881101+/-0.000298719
../../../macros/137-Cs/SimLuna.6.histos.root	0.0881741+/-0.000297612
../../../macros/137-Cs/SimLuna.6.histos.root	0.0879139+/-0.000296639
../../../macros/137-Cs/SimLuna.6.histos.root	0.0881137+/-0.000297853
../../../macros/137-Cs/SimLuna.6.histos.root	0.0882331+/-0.000297197
../../../macros/137-Cs/SimLuna.6.histos.root	0.0885333+/-0.000297131
../../../macros/137-Cs/SimLuna.6.histos.root	0.0882285+/-0.000295727
../../../macros/137-Cs/SimLuna.7.histos.root	0.0882896+/-0.00029722
../../../macros/137-Cs/SimLuna.7.histos.root	0.0883464+/-0.000291272
../../../macros/137-Cs/SimLuna.7.histos.root	0.0882183+/-0.000298434
../../../macros/137-Cs/SimLuna.7.histos.root	0.0880775+/-0.000296542
../../../macros/137-Cs/SimLuna.7.histos.root	0.0877671+/-0.000296943
../../../macros/137-Cs/SimLuna.7.histos.root	0.0884393+/-0.000292524
../../../macros/137-Cs/SimLuna.8.histos.root	0.0879477+/-0.000297315
../../../macros/137-Cs/SimLuna.8.histos.root	0.0880973+/-0.000298743
../../../macros/137-Cs/SimLuna.8.histos.root	0.088223+/-0.000298493
../../../macros/137-Cs/SimLuna.8.histos.root	0.0885153+/-0.000298944
../../../macros/137-Cs/SimLuna.8.histos.root	0.0881684+/-0.000297208
../../../macros/137-Cs/SimLuna.8.histos.root	0.0879941+/-0.000298532
../../../macros/137-Cs/SimLuna.9.histos.root	0.0884419+/-0.000296641
../../../macros/137-Cs/SimLuna.9.histos.root	0.0883297+/-0.000296631
../../../macros/137-Cs/SimLuna.9.histos.root	0.0880704+/-0.00029168
../../../macros/137-Cs/SimLuna.9.histos.root	0.0882971+/-0.00029646
../../../macros/137-Cs/SimLuna.9.histos.root	0.088003+/-0.000297344
../../../macros/137-Cs/SimLuna.9.histos.root	0.0882492+/-0.000291592
../../../macros/137-Cs/SimLuna.10.histos.root	0.0880099+/-0.000296512
../../../macros/137-Cs/SimLuna.10.histos.root	0.0881243+/-0.000297818
../../../macros/137-Cs/SimLuna.10.histos.root	0.0884007+/-0.000294264
../../../macros/137-Cs/SimLuna.10.histos.root	0.0879869+/-0.000299009
../../../macros/137-Cs/SimLuna.10.histos.root	0.0876246+/-0.000294158
../../../macros/137-Cs/SimLuna.10.histos.root	0.0885659+/-0.000299611
