File name	Efficiency (1173 keV)	Efficiency (1332 keV)	
../../../macros/60-Co/SimLuna.1.histos.root	0.0809975+/-0.000301737	0.0785409+/-0.000287434	
../../../macros/60-Co/SimLuna.1.histos.root	0.0805255+/-0.000289357	0.0791171+/-0.000285544	
../../../macros/60-Co/SimLuna.1.histos.root	0.0810523+/-0.000287749	0.0781144+/-0.000281925	
../../../macros/60-Co/SimLuna.1.histos.root	0.0811188+/-0.000289928	0.0784414+/-0.000281908	
../../../macros/60-Co/SimLuna.1.histos.root	0.0808938+/-0.000285696	0.078087+/-0.0002828	
../../../macros/60-Co/SimLuna.1.histos.root	0.0808847+/-0.000288568	0.0787381+/-0.000283594	
../../../macros/60-Co/SimLuna.2.histos.root	0.0811922+/-0.00028741	0.0787193+/-0.000284262	
../../../macros/60-Co/SimLuna.2.histos.root	0.0809663+/-0.000285998	0.0784375+/-0.000282842	
../../../macros/60-Co/SimLuna.2.histos.root	0.0812296+/-0.00028787	0.0784816+/-0.000282523	
../../../macros/60-Co/SimLuna.2.histos.root	0.0808976+/-0.000287758	0.0787164+/-0.00028222	
../../../macros/60-Co/SimLuna.2.histos.root	0.0810897+/-0.000284096	0.0787215+/-0.0002868	
../../../macros/60-Co/SimLuna.2.histos.root	0.0811175+/-0.000289648	0.0789526+/-0.000287049	
../../../macros/60-Co/SimLuna.3.histos.root	0.0808203+/-0.000286754	0.078745+/-0.000289422	
../../../macros/60-Co/SimLuna.3.histos.root	0.0803777+/-0.000285868	0.0791593+/-0.000285673	
../../../macros/60-Co/SimLuna.3.histos.root	0.0816561+/-0.000288773	0.0783241+/-0.000282518	
../../../macros/60-Co/SimLuna.3.histos.root	0.0811509+/-0.000287873	0.0792667+/-0.000283256	
../../../macros/60-Co/SimLuna.3.histos.root	0.0809228+/-0.000284877	0.0782119+/-0.000286298	
../../../macros/60-Co/SimLuna.3.histos.root	0.0810406+/-0.000288585	0.0782798+/-0.000280326	
../../../macros/60-Co/SimLuna.4.histos.root	0.0814558+/-0.000295228	0.0782747+/-0.000279523	
../../../macros/60-Co/SimLuna.4.histos.root	0.0806379+/-0.000287262	0.0784889+/-0.000284621	
../../../macros/60-Co/SimLuna.4.histos.root	0.0811392+/-0.000287735	0.0788785+/-0.000283747	
../../../macros/60-Co/SimLuna.4.histos.root	0.0807042+/-0.000285973	0.0788898+/-0.000282376	
../../../macros/60-Co/SimLuna.4.histos.root	0.0807916+/-0.000287567	0.0786238+/-0.000283149	
../../../macros/60-Co/SimLuna.4.histos.root	0.0814356+/-0.00029017	0.0782072+/-0.000282562	
../../../macros/60-Co/SimLuna.5.histos.root	0.0810807+/-0.000288135	0.0785709+/-0.000292666	
../../../macros/60-Co/SimLuna.5.histos.root	0.0805549+/-0.000288422	0.0783357+/-0.000283346	
../../../macros/60-Co/SimLuna.5.histos.root	0.0812901+/-0.000288349	0.0786294+/-0.000283846	
../../../macros/60-Co/SimLuna.5.histos.root	0.0811383+/-0.000288562	0.078121+/-0.000289486	
../../../macros/60-Co/SimLuna.5.histos.root	0.0810502+/-0.00028352	0.0786789+/-0.000287515	
../../../macros/60-Co/SimLuna.5.histos.root	0.0811454+/-0.00028882	0.0792391+/-0.000285605	
../../../macros/60-Co/SimLuna.6.histos.root	0.0814603+/-0.000288697	0.0784122+/-0.000280369	
../../../macros/60-Co/SimLuna.6.histos.root	0.0807701+/-0.000287711	0.0786521+/-0.000285041	
../../../macros/60-Co/SimLuna.6.histos.root	0.0806839+/-0.000286778	0.0781684+/-0.000280548	
../../../macros/60-Co/SimLuna.6.histos.root	0.0811239+/-0.000289924	0.0786101+/-0.000282991	
../../../macros/60-Co/SimLuna.6.histos.root	0.0809679+/-0.000285502	0.0782559+/-0.000285876	
../../../macros/60-Co/SimLuna.6.histos.root	0.0812525+/-0.000287781	0.0787657+/-0.000283436	
../../../macros/60-Co/SimLuna.7.histos.root	0.0813273+/-0.000287568	0.0784014+/-0.000281467	
../../../macros/60-Co/SimLuna.7.histos.root	0.0804463+/-0.000287083	0.0785865+/-0.000282942	
../../../macros/60-Co/SimLuna.7.histos.root	0.0810594+/-0.000287749	0.0782027+/-0.000281168	
../../../macros/60-Co/SimLuna.7.histos.root	0.0809897+/-0.000285813	0.078512+/-0.00028217	
../../../macros/60-Co/SimLuna.7.histos.root	0.080819+/-0.00028554	0.0787509+/-0.000285188	
../../../macros/60-Co/SimLuna.7.histos.root	0.0811166+/-0.000289227	0.0788355+/-0.000284625	
../../../macros/60-Co/SimLuna.8.histos.root	0.0810253+/-0.00028751	0.0788754+/-0.000298254	
../../../macros/60-Co/SimLuna.8.histos.root	0.0809094+/-0.000285816	0.0784541+/-0.000284015	
../../../macros/60-Co/SimLuna.8.histos.root	0.0809639+/-0.000287548	0.0785158+/-0.000280779	
../../../macros/60-Co/SimLuna.8.histos.root	0.0804251+/-0.000288542	0.0790077+/-0.000293905	
../../../macros/60-Co/SimLuna.8.histos.root	0.0808065+/-0.00028672	0.0785563+/-0.000286449	
../../../macros/60-Co/SimLuna.8.histos.root	0.0807592+/-0.000287295	0.0786352+/-0.000282719	
../../../macros/60-Co/SimLuna.9.histos.root	0.0810551+/-0.000301185	0.0784888+/-0.0002901	
