File Name,Slope,ErrSlope,Intercept,ErrIntercept,Normalization 1,ErrNormalization 1,Mean 1,ErrMean 1,Standard Deviation 1,ErrStandard Deviation 1,Normalization 2,ErrNormalization 2,Mean 2,ErrMean 2,Standard Deviation 2,ErrStandard Deviation 2,Fit p-value,Pulser Integral,Total Time [s],Live Time Percentage,Activity [Bq],Efficiency 1,ErrEfficiency 1,Efficiency 2,ErrEfficiency 2,Efficiency Trap,ErrEfficiency Trap
run1776_coinc_h_EBGO_ADC_1.txt,-0.80027,0.00450042,566.262,2.93527,220963,525.958,561.605,0.0939604,38.1581,0.0808998,0,0,0,0,0,0,2.73766e-10,4763,463,0.985093,4599.42,0.105332,0.00120853,0,0,0.103114,0.0011838
run1776_coinc_h_EBGO_ADC_2.txt,-0.852838,0.00545528,600.525,3.68389,218285,541.509,554.61,0.0994883,39.2558,0.0847183,0,0,0,0,0,0,1.6092e-10,4763,463,0.982784,4599.42,0.104299,0.00120179,0,0,0.102732,0.00118238
run1776_coinc_h_EBGO_ADC_3.txt,-0.964877,0.00627863,620.447,3.93251,207938,528.157,490.839,0.0970436,36.9026,0.0814621,0,0,0,0,0,0,1.42186e-30,4763,463,0.982574,4599.42,0.0993768,0.00114664,0,0,0.0976609,0.00112586
run1776_coinc_h_EBGO_ADC_4.txt,-1.02979,0.00757566,662.938,4.77962,214868,522.318,515.871,0.0818733,32.5146,0.0685183,0,0,0,0,0,0,3.48907e-22,4763,463,0.986773,4599.42,0.102252,0.00117231,0,0,0.10025,0.00114899
run1776_coinc_h_EBGO_ADC_5.txt,-0.899017,0.00725603,606.735,4.74871,208357,548.153,523.161,0.104446,39.392,0.0918721,0,0,0,0,0,0,2.88179e-07,4763,463,0.983414,4599.42,0.0994919,0.00114908,0,0,0.0994425,0.00114507
run1776_coinc_h_EBGO_ADC_6.txt,-0.71081,0.00441878,526.965,3.19817,208628,513.635,581.02,0.103072,40.4115,0.0860819,0,0,0,0,0,0,2.95356e-12,4763,463,0.981734,4599.42,0.0997921,0.00115067,0,0,0.0980022,0.00113068
run1777_coinc_h_EBGO_ADC_1.txt,-0.0777571,0.000745044,119.798,0.798814,46494.1,622.255,1009.63,0.842629,52.9264,0.601649,40168.2,613.681,1148.42,0.934429,51.8325,0.584018,0.00757762,1791,173,0.963149,3249.12,0.08588,0.00147297,0.0741953,0.00139341,0,0
run1777_coinc_h_EBGO_ADC_2.txt,-0.0821585,0.000895634,123.437,0.872725,46904.1,787.582,995.089,1.06968,54.9144,0.70779,40205,791.192,1131.29,1.18276,53.8333,0.703942,1.25226e-05,1791,173,0.969849,3249.12,0.0860388,0.00171958,0.0737503,0.00166781,0,0
run1777_coinc_h_EBGO_ADC_3.txt,-0.0963551,0.00100979,133.456,1.06082,43769.3,1023.88,881.508,1.29769,50.8752,0.758902,40604.6,1014.72,1002.41,1.44661,52.0086,0.768966,0.00460365,1791,173,0.970408,3249.12,0.0802423,0.00209351,0.0744404,0.0020559,0,0
run1777_coinc_h_EBGO_ADC_4.txt,-0.0951122,0.00102498,132.41,0.962978,45590.6,483.549,923.174,0.584861,44.7944,0.442612,40618,482.259,1050.49,0.651074,44.9767,0.455186,0.0372813,1791,173,0.978224,3249.12,0.0829134,0.00121731,0.07387,0.00115697,0,0
run1777_coinc_h_EBGO_ADC_5.txt,-0.0870745,0.000927312,126.128,0.93757,46729.3,953.902,940.87,1.29516,55.6891,0.792426,37546.9,947.295,1070.53,1.43136,52.9033,0.785079,0.0179492,1791,173,0.973758,3249.12,0.0853741,0.0019809,0.068598,0.00190376,0,0
run1777_coinc_h_EBGO_ADC_6.txt,-0.0684333,0.00059455,110.663,0.710275,43820.5,677.442,1042.87,0.994247,54.9256,0.673036,40143.6,667.865,1185.53,1.09913,55.5542,0.654807,3.12345e-05,1791,173,0.975433,3249.12,0.0799222,0.00149465,0.0732161,0.0014449,0,0
run1779_coinc_h_EBGO_ADC_1.txt,-0.0670569,0.00076254,101.985,0.691929,41480.3,583.166,1005.75,0.897495,52.717,0.623095,36013.5,590.504,1144.02,0.983045,51.802,0.631729,4.06998e-06,1617,156,0.972789,3249.12,0.0841265,0.00149563,0.0730393,0.00144483,0,0
run1779_coinc_h_EBGO_ADC_2.txt,-0.0709484,0.000763079,108.263,0.708904,43412.4,748.075,989.837,1.0862,54.0866,0.70029,38125.6,755.34,1125.63,1.21413,54.0488,0.72629,0.00294592,1617,156,0.974026,3249.12,0.0879331,0.00180192,0.0772245,0.0017621,0,0
run1779_coinc_h_EBGO_ADC_3.txt,-0.0864899,0.000746444,120.855,0.741975,41846.8,1069.46,877.905,1.38404,50.4943,0.780704,39776.5,1065.71,997.024,1.56797,52.7095,0.80905,0.15652,1617,156,0.970315,3249.12,0.0850861,0.0024088,0.0808766,0.00238577,0,0
run1779_coinc_h_EBGO_ADC_4.txt,-0.0864293,0.000991154,119.959,0.93941,40615.2,439.097,916.948,0.557449,42.6257,0.430987,38967.8,441.839,1043.23,0.636742,45.4573,0.454404,1.4579e-05,1617,156,0.974644,3249.12,0.0822151,0.00124642,0.0788803,0.00122744,0,0
run1779_coinc_h_EBGO_ADC_5.txt,-0.0777378,0.00106017,112.636,0.945153,42436.1,966.793,935.557,1.42505,55.3207,0.855643,35067.6,977.918,1064.23,1.57504,53.4656,0.871992,0.00534797,1617,156,0.974644,3249.12,0.085901,0.00219542,0.0709854,0.00215947,0,0
run1779_coinc_h_EBGO_ADC_6.txt,-0.0630284,0.000783331,99.1031,0.763325,39100.9,657.111,1034.92,1.04284,53.8069,0.683347,38051.4,675.061,1177.09,1.17645,57.1428,0.747884,0.0196656,1617,156,0.965986,3249.12,0.0798592,0.00161976,0.0777157,0.00164128,0,0
run1780_coinc_h_EBGO_ADC_1.txt,-0.288985,0.00289757,200.241,1.87805,80335.2,314.893,560.373,0.155404,38.2735,0.133668,0,0,0,0,0,0,0.065754,1748,170,0.978261,4599.42,0.105027,0.001389,0,0,0.10208,0.00135156
run1780_coinc_h_EBGO_ADC_2.txt,-0.316263,0.00449444,216.205,2.59584,82618.6,341.475,551.872,0.162295,39.7076,0.15618,0,0,0,0,0,0,0.534439,1748,170,0.976545,4599.42,0.108202,0.00144084,0,0,0.105537,0.00139845
run1780_coinc_h_EBGO_ADC_3.txt,-0.276776,0.00325252,183.637,2.12242,79421.9,319.331,488.128,0.15472,36.8515,0.126589,0,0,0,0,0,0,3.95719e-177,1748,170,0.978261,4599.42,0.103833,0.00137649,0,0,0.101237,0.00134294
run1780_coinc_h_EBGO_ADC_4.txt,-0.305559,0.0029445,202.945,1.9209,79849.1,308.673,513.017,0.134879,32.1821,0.103177,0,0,0,0,0,0,3.04658e-191,1748,170,0.96968,4599.42,0.105315,0.00140337,0,0,0.103104,0.00137683
run1780_coinc_h_EBGO_ADC_5.txt,-0.303968,0.00295899,207.716,1.9757,79478.3,324.613,519.74,0.165546,38.9835,0.133878,0,0,0,0,0,0,1.70175e-35,1748,170,0.982838,4599.42,0.103422,0.00136676,0,0,0.104324,0.00137492
run1780_coinc_h_EBGO_ADC_6.txt,-0.277507,0.00398024,198.617,2.36269,78703.8,343.584,578.083,0.174494,40.8503,0.164088,0,0,0,0,0,0,0.500922,1748,170,0.969108,4599.42,0.103866,0.00140183,0,0,0.10108,0.00135313
